Exp ID,Focus,Timesteps,LR,Batch,Buffer,Mean Reward,Std Reward,Auto-Comment
1,Micro Sprint 1,10000,0.001,16,5000,5.8,2.99,MLP Limitation.
2,Micro Sprint 2,15000,0.0009,24,7500,2.0,0.0,MLP Limitation.
3,Micro Sprint 3,20000,0.0008,32,10000,7.0,4.05,MLP Limitation.
4,Micro Sprint 4,25000,0.0007,40,12500,12.2,2.04,Good (Learned basics).
5,Micro Sprint 5,30000,0.0006,48,15000,17.0,4.65,Great Performance!
6,Micro Sprint 6,35000,0.0005,64,17500,18.4,3.32,Great Performance!
7,Micro Sprint 7,40000,0.0004,96,50000,4.4,1.74,MLP Limitation.
8,Micro Sprint 8,55000,0.0003,128,22500,4.8,1.94,MLP Limitation.
9,Micro Sprint 9,99000,0.0002,512,25000,22.2,7.83,Great Performance!
10,Micro Sprint 10,70000,0.0001,256,30000,11.4,2.65,MLP Limitation.
