Exp ID,Focus,Timesteps,LR,Batch,Buffer,Mean Reward,Std Reward,Auto-Comment
1,Standard Baseline,80000,0.0001,32,100000,14.3,3.21,Good (Learned basics).
2,MLP Check,50000,0.0001,32,50000,6.5,2.78,MLP Limitation.
3,Aggressive LR (2.5e-4),80000,0.00025,32,100000,14.9,3.46,Good (Learned basics).
4,Precise LR (5e-5),80000,5e-05,32,100000,10.1,4.64,Good (Learned basics).
5,Small Buffer (10k),80000,0.0001,32,10000,15.8,4.35,Great Performance!
6,Large Batch (128),80000,0.0001,128,100000,15.2,4.74,Great Performance!
7,Stable Target (2000),80000,0.0001,32,100000,12.35,3.51,Good (Learned basics).
8,More Explore (20% decay),80000,0.0001,32,100000,8.6,3.58,Average.
9,DeepMind Style,100000,0.0001,32,200000,13.5,3.54,Good (Learned basics).
10,*** CHAMPION MODEL ***,200000,0.0001,32,100000,16.15,4.87,Great Performance!
