time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss
202,0,4,49,0.9029799999999997,,,,,
232,0,8,85,0.8316999999999999,4.0,310.0,,,
251,0,12,117,0.7683400000000002,3.0,288.0,,,
252,0,16,137,0.7287400000000002,2.0,249.0,,,
261,0,20,166,0.6713199999999999,1.75,240.25,,,
275,0,24,200,0.6039999999999996,1.75,240.25,,,
282,0,28,238,0.5287600000000002,1.8,234.2,,,
280,0,32,256,0.4931199999999998,1.8333333333333333,233.83333333333334,,,
281,1,36,287,0.4317399999999999,1.7142857142857142,230.42857142857142,,,
282,1,40,316,0.37431999999999976,1.625,228.625,,,
282,1,44,334,0.3386800000000003,1.625,228.625,,,
281,1,48,354,0.29908000000000035,1.4444444444444444,220.11111111111111,,,
281,1,52,381,0.24561999999999962,1.4,218.3,,,
285,1,56,419,0.1703800000000002,1.4545454545454546,220.1818181818182,,,
287,1,60,456,0.09712000000000054,1.5,222.16666666666666,,,
287,1,64,476,0.05752000000000046,1.5,222.16666666666666,,,
281,1,68,507,0.01,1.3846153846153846,217.46153846153845,1,0.0002,0.03586598485708237
261,2,72,545,0.01,1.3571428571428572,216.78571428571428,11,0.0002,0.03453201428055763
247,2,76,576,0.01,1.4666666666666666,221.86666666666667,18,0.0002,0.025783853605389595
239,2,80,596,0.01,1.375,218.875,23,0.0002,0.02348310500383377
230,2,84,636,0.01,1.375,218.875,33,0.0002,0.011472160927951336
221,3,88,670,0.01,1.411764705882353,219.47058823529412,42,0.0002,0.022948505356907845
213,3,92,702,0.01,1.5,222.88888888888889,50,0.0002,0.015689225867390633
201,3,96,775,0.01,1.5263157894736843,223.1578947368421,68,0.0002,0.017401251941919327
195,4,100,825,0.01,1.75,233.3,81,0.0002,0.024284297600388527
193,4,104,845,0.01,1.75,233.3,86,0.0002,0.032305289059877396
189,4,108,865,0.01,1.6666666666666667,230.14285714285714,91,0.0002,0.03692759945988655
184,4,112,901,0.01,1.5909090909090908,227.77272727272728,100,0.0002,0.045287467539310455
175,5,116,929,0.01,1.6521739130434783,229.7391304347826,107,0.0002,0.03293120861053467
173,5,120,973,0.01,1.7083333333333333,231.41666666666666,118,0.0002,0.0379217229783535
171,5,124,993,0.01,1.7083333333333333,231.41666666666666,123,0.0002,0.011799768544733524
167,6,128,1029,0.01,1.64,228.36,132,0.0002,0.06248020753264427
165,6,132,1049,0.01,1.6538461538461537,228.57692307692307,137,0.0002,0.02052956074476242
164,6,136,1076,0.01,1.5925925925925926,225.96296296296296,143,0.0002,0.031876061111688614
162,6,140,1122,0.01,1.6785714285714286,228.14285714285714,155,0.0002,0.026547608897089958
160,7,144,1176,0.01,1.6785714285714286,228.14285714285714,168,0.0002,0.010895030573010445
158,7,148,1194,0.01,1.7586206896551724,230.27586206896552,173,0.0002,0.012295862659811974
158,7,152,1228,0.01,1.7,227.76666666666668,181,0.0002,0.010384958237409592
157,7,156,1248,0.01,1.7096774193548387,227.5483870967742,186,0.0002,0.011753354221582413
156,8,160,1268,0.01,1.65625,225.53125,191,0.0002,0.01956924982368946
155,8,164,1316,0.01,1.65625,225.53125,203,0.0002,0.017849940806627274
154,8,168,1348,0.01,1.696969696969697,226.66666666666666,211,0.0002,0.037358589470386505
152,9,172,1394,0.01,1.7352941176470589,228.14705882352942,223,0.0002,0.017082244157791138
151,9,176,1427,0.01,1.7428571428571429,228.05714285714285,231,0.0002,0.02827262692153454
150,9,180,1445,0.01,1.75,228.16666666666666,236,0.0002,0.018287602812051773
149,9,184,1465,0.01,1.75,228.16666666666666,241,0.0002,0.01871332712471485
146,10,188,1485,0.01,1.7027027027027026,226.32432432432432,246,0.0002,0.01722894050180912
145,10,192,1529,0.01,1.6578947368421053,224.94736842105263,257,0.0002,0.01951192505657673
145,10,196,1547,0.01,1.6666666666666667,226.10256410256412,261,0.0002,0.034534912556409836
144,10,200,1567,0.01,1.625,224.55,266,0.0002,0.030600739642977715
144,11,204,1617,0.01,1.625,224.55,279,0.0002,0.04319895803928375
143,11,208,1648,0.01,1.6585365853658536,225.9512195121951,286,0.0002,0.018963173031806946
142,11,212,1682,0.01,1.6904761904761905,227.21428571428572,295,0.0002,0.039726026356220245
141,12,216,1715,0.01,1.697674418604651,226.69767441860466,303,0.0002,0.009664149023592472
141,12,220,1773,0.01,1.75,229.04545454545453,318,0.0002,0.026335587725043297
141,12,224,1805,0.01,1.75,229.04545454545453,326,0.0002,0.006398857571184635
140,13,228,1841,0.01,1.7555555555555555,229.0,335,0.0002,0.03255222737789154
140,13,232,1861,0.01,1.7608695652173914,229.1304347826087,340,0.0002,0.010097883641719818
140,13,236,1895,0.01,1.7659574468085106,228.82978723404256,348,0.0002,0.03128631412982941
140,13,240,1939,0.01,1.7916666666666667,229.47916666666666,359,0.0002,0.018602296710014343
139,14,244,1985,0.01,1.7916666666666667,229.47916666666666,371,0.0002,0.030291689559817314
139,14,248,2017,0.01,1.836734693877551,231.22448979591837,379,0.0002,0.0066875871270895
139,14,252,2066,0.01,1.82,230.3,391,0.0002,0.022365331649780273
138,15,256,2094,0.01,1.8431372549019607,231.64705882352942,398,0.0002,0.035090021789073944
138,15,260,2126,0.01,1.8461538461538463,231.6153846153846,406,0.0002,0.025228748098015785
139,15,264,2172,0.01,1.8461538461538463,231.6153846153846,417,0.0002,0.039229314774274826
139,15,268,2197,0.01,1.8679245283018868,232.30188679245282,424,0.0002,0.01438857801258564
139,16,272,2243,0.01,1.8703703703703705,232.12962962962962,435,0.0002,0.034110717475414276
139,16,276,2271,0.01,1.8909090909090909,232.47272727272727,442,0.0002,0.01649554632604122
138,16,280,2305,0.01,1.8928571428571428,232.25,451,0.0002,0.011326279491186142
139,16,284,2341,0.01,1.8928571428571428,232.25,460,0.0002,0.026143308728933334
138,17,288,2375,0.01,1.894736842105263,232.26315789473685,468,0.0002,0.033498942852020264
138,17,292,2414,0.01,1.9137931034482758,232.75862068965517,478,0.0002,0.03274864703416824
138,17,296,2430,0.01,1.8983050847457628,231.77966101694915,482,0.0002,0.013040815480053425
138,17,300,2474,0.01,1.9166666666666667,232.53333333333333,493,0.0002,0.017503906041383743
138,18,304,2542,0.01,1.9166666666666667,232.53333333333333,510,0.0002,0.0032166417222470045
137,18,308,2599,0.01,2.0,235.91803278688525,524,0.0002,0.03337407484650612
137,19,312,2650,0.01,2.0,235.96774193548387,537,0.0002,0.04307226091623306
137,19,316,2677,0.01,2.0317460317460316,237.4126984126984,544,0.0002,0.02636680379509926
137,19,320,2702,0.01,2.015625,236.515625,550,0.0002,0.009944841265678406
137,20,324,2779,0.01,2.015625,236.515625,569,0.0002,0.01915213093161583
137,20,328,2813,0.01,2.0923076923076924,239.4,578,0.0002,0.03789939731359482
137,20,332,2864,0.01,2.106060606060606,239.6969696969697,590,0.0002,0.03940393403172493
137,21,336,2892,0.01,2.1194029850746268,240.0,597,0.0002,0.03564995527267456
137,21,340,2936,0.01,2.1323529411764706,240.52941176470588,608,0.0002,0.03157922625541687
137,21,344,2981,0.01,2.1323529411764706,240.52941176470588,620,0.0002,0.017210856080055237
137,21,348,3008,0.01,2.1449275362318843,240.92753623188406,626,0.0002,0.0272523183375597
137,22,352,3058,0.01,2.157142857142857,241.21428571428572,639,0.0002,0.022830551490187645
137,22,356,3086,0.01,2.1690140845070425,241.74647887323943,646,0.0002,0.037045687437057495
136,22,360,3130,0.01,2.1805555555555554,242.22222222222223,657,0.0002,0.03228965029120445
137,23,364,3164,0.01,2.1805555555555554,242.22222222222223,665,0.0002,0.029006341472268105
136,23,368,3196,0.01,2.1780821917808217,241.9041095890411,673,0.0002,0.01776551455259323
136,23,372,3244,0.01,2.189189189189189,242.48648648648648,685,0.0002,0.032784368842840195
136,23,376,3264,0.01,2.1866666666666665,242.49333333333334,690,0.0002,0.013538355007767677
136,24,380,3308,0.01,2.1973684210526314,242.78947368421052,701,0.0002,0.04429766535758972
136,24,384,3355,0.01,2.1973684210526314,242.78947368421052,713,0.0002,0.06366302073001862
136,24,388,3387,0.01,2.207792207792208,243.03896103896105,721,0.0002,0.03434084728360176
136,25,392,3433,0.01,2.217948717948718,243.35897435897436,733,0.0002,0.021932106465101242
136,25,396,3467,0.01,2.2278481012658227,243.55696202531647,741,0.0002,0.023154253140091896
136,25,400,3499,0.01,2.2375,243.5125,749,0.0002,0.05180506780743599
136,25,404,3533,0.01,2.2375,243.5125,758,0.0002,0.027850525453686714
136,26,408,3579,0.01,2.246913580246914,243.82716049382717,769,0.0002,0.023566322401165962
135,26,412,3627,0.01,2.2560975609756095,244.4268292682927,781,0.0002,0.024971861392259598
135,26,416,3655,0.01,2.2650602409638556,244.78313253012047,788,0.0002,0.010258953087031841
135,27,420,3692,0.01,2.261904761904762,244.6547619047619,797,0.0002,0.0341535285115242
135,27,424,3738,0.01,2.261904761904762,244.6547619047619,809,0.0002,0.03389517217874527
135,27,428,3770,0.01,2.2705882352941176,244.76470588235293,817,0.0002,0.022719871252775192
135,28,432,3809,0.01,2.2790697674418605,244.87209302325581,827,0.0002,0.0248379185795784
134,28,436,3827,0.01,2.264367816091954,244.4367816091954,831,0.0002,0.017177151516079903
134,28,440,3871,0.01,2.272727272727273,244.73863636363637,842,0.0002,0.012899970635771751
134,29,444,3917,0.01,2.272727272727273,244.73863636363637,854,0.0002,0.028158176690340042
134,29,448,3953,0.01,2.2808988764044944,244.93258426966293,863,0.0002,0.018562277778983116
134,29,452,3989,0.01,2.2777777777777777,244.7111111111111,872,0.0002,0.03521613031625748
134,29,456,4017,0.01,2.2857142857142856,244.8901098901099,879,0.0002,0.026975948363542557
134,30,460,4061,0.01,2.2934782608695654,245.0108695652174,890,0.0002,0.020763270556926727
134,30,464,4095,0.01,2.2934782608695654,245.0108695652174,898,0.0002,0.021007753908634186
134,30,468,4139,0.01,2.3010752688172045,245.20430107526883,909,0.0002,0.04726247489452362
134,31,472,4185,0.01,2.3085106382978724,245.37234042553192,921,0.0002,0.027410682290792465
133,31,476,4213,0.01,2.3157894736842106,245.57894736842104,928,0.0002,0.014620829373598099
133,31,480,4262,0.01,2.3229166666666665,245.9375,940,0.0002,0.02626803144812584
133,32,484,4308,0.01,2.3229166666666665,245.9375,951,0.0002,0.02966887317597866
133,32,488,4340,0.01,2.329896907216495,246.1340206185567,959,0.0002,0.03722868859767914
133,32,492,4360,0.01,2.326530612244898,245.98979591836735,964,0.0002,0.018080171197652817
133,33,496,4401,0.01,2.3333333333333335,246.0909090909091,975,0.0002,0.018797077238559723
133,33,500,4447,0.01,2.35,246.49,986,0.0002,0.01969263143837452
133,33,504,4481,0.01,2.35,246.49,995,0.0002,0.04352806508541107
133,34,508,4527,0.01,2.34,246.08,1006,0.0002,0.037070129066705704
133,34,512,4575,0.01,2.35,246.37,1018,0.0002,0.022358715534210205
132,34,516,4600,0.01,2.38,247.17,1024,0.0002,0.04698760434985161
132,34,520,4648,0.01,2.4,247.8,1036,0.0002,0.04347889870405197
132,35,524,4682,0.01,2.4,247.8,1045,0.0002,0.01960533857345581
131,35,528,4730,0.01,2.41,248.55,1057,0.0002,0.009415790438652039
131,36,532,4766,0.01,2.41,248.58,1066,0.0002,0.015913568437099457
130,36,536,4786,0.01,2.42,248.87,1071,0.0002,0.038942355662584305
130,36,540,4832,0.01,2.44,249.53,1082,0.0002,0.028976138681173325
130,37,544,4859,0.01,2.44,249.53,1089,0.0002,0.021251210942864418
130,37,548,4926,0.01,2.46,250.43,1106,0.0002,0.027770109474658966
130,38,552,4978,0.01,2.51,252.18,1119,0.0002,0.029942072927951813
