Exp ID,Focus,Timesteps,LR,Gamma,Batch,Buffer,Learning Starts,Target Update,Eps Decay Fraction,Mean Reward,Std Reward,Auto-Comment,Policy,Epsilon Start,Epsilon End
1,Baseline Short (quick-check),5000,0.0001,0.99,64,5000,1000,1000,0.2,3.2,0.75,Average.,CnnPolicy,1.0,0.05
2,Optimized Fast (Exp6-tuned),5000,0.0003,0.95,32,10000,1000,1000,0.1,7.6,1.5,Average.,CnnPolicy,1.0,0.05
3,Longer Stable (50k),150000,0.0001,0.9,32,50000,5000,1000,0.2,21.6,7.28,Great Performance!,CnnPolicy,1.0,0.01
4,Aggressive Start (MLP test),5000,0.0002,0.99,64,100000,500,1000,0.1,2.8,0.4,MLP Limitation.,MlpPolicy,1.0,0.01
5,Mid Stable (20k),20000,0.00015,0.96,32,20000,2000,1000,0.15,10.0,2.9,Average.,CnnPolicy,1.0,0.02
6,High Gamma Long Horizon,40000,0.0001,0.995,32,40000,2000,2000,0.2,7.6,1.5,Average.,CnnPolicy,1.0,0.05
7,Short Buffer Fast Decay,10000,0.0002,0.97,64,5000,1000,1000,0.5,6.8,4.07,Average.,CnnPolicy,1.0,0.01
8,Delayed Target Update (5k),15000,0.0001,0.99,32,10000,1000,5000,0.1,4.2,1.94,Average.,CnnPolicy,1.0,0.01
9,Balanced Optimizer,20000,0.00015,0.995,32,20000,1000,1000,0.15,8.0,4.05,Average.,CnnPolicy,1.0,0.02
10,Fastest Decay (0.5),5000,0.0001,0.99,64,50000,1000,1000,0.5,0.0,0.0,Failed / Needs more time.,CnnPolicy,1.0,0.01
